repetition,fold,mf_set,learner,dataset_id,dataset_name,top1_predicted,SRC,WRC,NDCG@3,Top1Hit,Regret@1,ARI,AMI
16,8,Distance,kNN,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,Distance,kNN,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,Distance,kNN,40984,segment,KM,0.8999999999999998,0.6715328467153284,0.9590999846244933,0.0,0.25,0.5070725733919773,0.6335559314386308
16,8,Distance,kNN,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,Distance,RF,1063,kc2,AA,0.9746794344808963,0.9503819266229829,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,Distance,RF,1475,first-order-theorem-proving,AA,0.7,0.7846715328467152,0.8891809465236166,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,Distance,RF,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,Distance,RF,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,Distance,RF,40984,segment,KM,0.39999999999999997,0.10583941605839417,0.7638523816845478,0.0,0.25,0.5070725733919773,0.6335559314386308
16,8,Distance,RF,41027,jungle_chess_2pcs_raw_endgame_complete,KM,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Sp,kNN,1063,kc2,AA,0.8720815992723809,0.8315841857951101,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,CaD-Sp,kNN,1475,first-order-theorem-proving,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,CaD-Sp,kNN,1486,nomao,AA,0.8207826816681233,0.8387252710801999,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,CaD-Sp,kNN,40927,CIFAR_10,KM,0.7,0.7846715328467152,0.8891809465236166,1.0,0.0,0.04620393716341701,0.0876153604133727
16,8,CaD-Sp,kNN,40984,segment,AA,0.6,0.19708029197080287,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,CaD-Sp,kNN,41027,jungle_chess_2pcs_raw_endgame_complete,KM,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Sp,RF,1063,kc2,AA,0.9746794344808963,0.9503819266229829,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,CaD-Sp,RF,1475,first-order-theorem-proving,AA,0.9999999999999999,1.0,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,CaD-Sp,RF,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,CaD-Sp,RF,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,CaD-Sp,RF,40984,segment,AA,0.6,0.19708029197080287,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,CaD-Sp,RF,41027,jungle_chess_2pcs_raw_endgame_complete,KM,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Ke,kNN,1063,kc2,AA,0.9746794344808963,0.9503819266229829,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,CaD-Ke,kNN,1475,first-order-theorem-proving,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,CaD-Ke,kNN,1486,nomao,KM,0.7999999999999999,0.5437956204379564,0.9036904578863016,0.0,0.25,0.306294536581117,0.20479010439286222
16,8,CaD-Ke,kNN,40927,CIFAR_10,KM,0.7,0.7846715328467152,0.8891809465236166,1.0,0.0,0.04620393716341701,0.0876153604133727
16,8,CaD-Ke,kNN,40984,segment,AA,0.46169025843831935,0.0648176214747282,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,CaD-Ke,kNN,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Ke,RF,1063,kc2,AA,0.8720815992723809,0.8315841857951101,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,CaD-Ke,RF,1475,first-order-theorem-proving,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,CaD-Ke,RF,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,CaD-Ke,RF,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,CaD-Ke,RF,40984,segment,AA,0.6,0.19708029197080287,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,CaD-Ke,RF,41027,jungle_chess_2pcs_raw_endgame_complete,KM,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Ch,kNN,1063,kc2,AA,0.9473684210526317,0.9172492321316784,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,CaD-Ch,kNN,1475,first-order-theorem-proving,AA,0.9999999999999999,1.0,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,CaD-Ch,kNN,1486,nomao,AA,0.6668859288553501,0.7242722138209314,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,CaD-Ch,kNN,40927,CIFAR_10,AA,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,CaD-Ch,kNN,40984,segment,KM,0.5642880936468347,0.2612346562466319,0.9300809618991231,0.0,0.25,0.5070725733919773,0.6335559314386308
16,8,CaD-Ch,kNN,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,CaD-Ch,RF,1063,kc2,KM,0.7181848464596079,0.5261042808091513,0.9382016449694848,0.0,0.375,0.05434056503351576,0.05084157620732934
16,8,CaD-Ch,RF,1475,first-order-theorem-proving,KM,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.03597890570995061,0.03686692365053983
16,8,CaD-Ch,RF,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,CaD-Ch,RF,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,CaD-Ch,RF,40984,segment,KM,0.7,0.3795620437956205,0.9300809618991231,0.0,0.25,0.5070725733919773,0.6335559314386308
16,8,CaD-Ch,RF,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,9,MeanRank,Baseline,44,spambase,KM,0.8999999999999998,0.6715328467153284,0.9590999846244933,0.0,0.25,-0.004810540396605019,0.00981761630414646
16,9,MeanRank,Baseline,458,analcatdata_authorship,KM,0.49999999999999994,0.36131386861313863,0.792871404409918,0.0,0.5,0.9627009385729746,0.9466634639600249
16,9,MeanRank,Baseline,1049,pc4,KM,0.7,0.5255474452554745,0.9036904578863016,0.0,0.5,-0.035747124439353836,0.03171082816402517
16,9,MeanRank,Baseline,1053,jm1,KM,0.6,0.4270072992700729,0.9036904578863016,0.0,0.5,-0.061672787682902235,0.01616709284786143
16,9,MeanRank,Baseline,1468,cnae-9,KM,0.8999999999999998,0.6715328467153284,0.9590999846244933,0.0,0.25,0.24118434660532984,0.4523386281019711
16,9,MeanRank,Baseline,1480,ilpd,KM,0.8720815992723809,0.6432675209026769,0.9579345718927627,0.0,0.25,0.026904542905179567,0.01890904082895001
16,9,MajorityRank,Baseline,44,spambase,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,0.00023375822891462115,0.00016864657032459704
16,9,MajorityRank,Baseline,458,analcatdata_authorship,AA,0.39999999999999997,0.5,0.8746714351609314,1.0,0.0,-0.001298280363074677,0.002124125366215741
16,9,MajorityRank,Baseline,1049,pc4,AA,0.7999999999999999,0.718978102189781,0.9854904886373149,1.0,0.0,-0.0011766877212441929,-0.0008792312474956116
16,9,MajorityRank,Baseline,1053,jm1,AA,0.8999999999999998,0.8175182481751825,0.9854904886373149,1.0,0.0,0.000952527733286133,-6.698255679980512e-05
16,9,MajorityRank,Baseline,1468,cnae-9,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-3.4412956154872763e-07,-6.563333207032727e-07
16,9,MajorityRank,Baseline,1480,ilpd,AA,0.8207826816681234,0.8398214856229393,1.0,1.0,0.0,-0.002050262114348152,-0.001474344143359914
16,9,Distance,kNN,44,spambase,AA,0.9999999999999999,1.0,1.0,1.0,0.0,0.00023375822891462115,0.00016864657032459704
